City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Constitucion,CL,-35.3333,-72.4167,65.7,69,31,5.97,scattered clouds
80,Souillac,MU,-20.5167,57.5167,78.8,83,40,6.91,scattered clouds
81,Beidao,CN,34.5686,105.8933,41.79,53,100,1.63,overcast clouds
82,Nhamunda,BR,-2.1861,-56.7131,90.52,55,51,4.79,broken clouds
83,Inuvik,CA,68.3499,-133.7218,-23.8,76,100,1.14,overcast clouds
84,Ilulissat,GL,69.2167,-51.1,21.2,38,40,20.71,snow
85,Cherskiy,RU,68.75,161.3,-9.35,80,0,5.86,clear sky
86,Kasulu,TZ,-4.5767,30.1025,73.4,94,40,8.05,light rain
87,Mar Del Plata,AR,-38.0023,-57.5575,69.8,64,75,14.97,light rain
88,Albany,US,42.6001,-73.9662,33.8,47,75,9.22,broken clouds
89,Copiapo,CL,-27.3667,-70.3333,69.8,56,0,12.66,clear sky
90,Aksarka,RU,66.5606,67.7975,-35.14,81,90,18.68,overcast clouds
91,Kang,BW,-23.6752,22.7876,69.39,86,100,7.23,light rain
92,Rassvet,RU,46.8333,40.75,27.79,84,100,8.1,overcast clouds
93,Swidwin,PL,53.7746,15.7767,17.01,86,19,7.23,few clouds
94,Mahebourg,MU,-20.4081,57.7,78.8,83,40,6.91,scattered clouds
95,Portland,US,45.5234,-122.6762,45.0,76,90,10.36,overcast clouds
96,Padang,ID,-0.9492,100.3543,75.2,83,20,2.3,few clouds
97,Pontianak,ID,-0.0333,109.3333,77.0,94,75,3.44,broken clouds
98,Bethel,US,41.3712,-73.414,41.0,33,40,11.5,scattered clouds
99,Avarua,CK,-21.2078,-159.775,80.6,83,21,5.75,few clouds
100,Shawnee,US,39.05,-95.7669,25.0,74,90,13.8,snow
101,Airai,TL,-8.9266,125.4092,60.19,100,100,2.28,overcast clouds
102,Kirkuk,IQ,35.4681,44.3922,56.01,80,100,6.24,overcast clouds
103,Cidreira,BR,-30.1811,-50.2056,76.91,62,13,8.55,few clouds
104,Beloha,MG,-25.1667,45.05,77.14,84,0,5.41,clear sky
105,Haines Junction,CA,60.7522,-137.5108,-25.6,68,100,1.14,overcast clouds
106,Kharp,RU,66.8014,65.8081,-27.04,79,75,2.35,broken clouds
107,Klaksvik,FO,62.2266,-6.589,35.6,51,20,24.16,few clouds
108,Qujing,CN,25.4833,103.7833,52.0,59,22,1.01,few clouds
109,At-Bashi,KG,41.1702,75.8106,25.86,79,100,0.94,overcast clouds
110,Ruidoso,US,33.3317,-105.673,45.0,16,1,13.8,clear sky
111,Pisco,PE,-13.7,-76.2167,75.2,78,75,10.36,broken clouds
112,Jojoima,SL,7.8792,-10.7878,85.51,40,99,2.48,overcast clouds
113,Buzmeyin,TM,38.0507,58.2056,50.0,76,90,4.61,overcast clouds
114,Thompson,CA,55.7435,-97.8558,-31.0,61,75,14.97,snow
115,Kapaa,US,22.0752,-159.319,57.2,88,1,6.91,clear sky
116,Tyrma,RU,50.0833,132.1667,-10.95,88,100,1.48,overcast clouds
117,Pangnirtung,CA,66.1451,-65.7125,12.2,79,75,8.05,broken clouds
118,Oistins,BB,13.0667,-59.5333,84.2,54,20,18.41,few clouds
119,Muswellbrook,AU,-32.2667,150.9,69.01,84,22,3.0,light rain
120,Mason City,US,43.1536,-93.201,3.0,66,90,18.41,overcast clouds
121,Barra Patuca,HN,15.8,-84.2833,82.89,74,100,11.03,overcast clouds
122,Hofn,IS,64.2539,-15.2082,34.77,87,99,18.48,light snow
123,Norman Wells,CA,65.282,-126.8329,-32.8,75,75,4.61,broken clouds
124,Iquique,CL,-20.2208,-70.1431,77.0,50,0,19.57,clear sky
125,Victoria,HK,22.2855,114.1577,66.0,71,0,3.47,clear sky
126,Kavaratti,IN,10.5669,72.642,81.21,63,1,10.56,clear sky
127,Iranshahr,IR,27.2025,60.6848,62.6,19,0,0.81,clear sky
128,Touros,BR,-5.1989,-35.4608,87.8,51,40,11.5,scattered clouds
129,Kruisfontein,ZA,-34.0033,24.7314,69.01,86,0,3.0,clear sky
130,Manaure,CO,11.7751,-72.4445,87.57,44,97,24.07,overcast clouds
131,Kieta,PG,-6.2167,155.6333,79.93,77,45,6.6,scattered clouds
132,Clyde River,CA,70.4692,-68.5914,-14.8,84,40,4.61,scattered clouds
133,Ancud,CL,-41.8697,-73.8203,77.0,44,0,11.5,clear sky
134,Ribeira Brava,PT,32.65,-17.0667,57.99,77,40,9.22,scattered clouds
135,Bilibino,RU,68.0546,166.4372,-9.45,82,0,2.35,clear sky
136,Faanui,PF,-16.4833,-151.75,81.34,71,0,11.7,clear sky
137,Kurilsk,RU,45.2333,147.8833,19.83,94,100,12.75,overcast clouds
138,Bichena,ET,10.45,38.2,56.61,36,0,8.19,clear sky
139,Polson,US,47.6936,-114.1632,32.0,45,100,9.04,light snow
140,Aklavik,CA,68.2191,-135.0107,-27.4,68,75,3.44,broken clouds
141,Pangkalanbuun,ID,-2.6833,111.6167,74.95,98,100,3.2,overcast clouds
142,Luderitz,NA,-26.6481,15.1594,72.37,53,0,27.34,clear sky
143,Tynda,RU,55.1667,124.7167,-21.57,82,46,2.95,scattered clouds
144,Yellowknife,CA,62.456,-114.3525,-38.99,66,1,2.3,mist
145,Anadyr,RU,64.75,177.4833,-9.0,77,0,8.95,clear sky
