City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Trairi,BR,2021-02-05 23:57:40,-3.2778,-39.2689,78.24,81,1,9.13
67,Kaitangata,NZ,2021-02-05 23:57:40,-46.2817,169.8464,62.01,70,46,7.0
68,Lorengau,PG,2021-02-05 23:57:40,-2.0226,147.2712,84.11,68,75,6.38
69,Chaihe,CN,2021-02-05 23:55:20,44.7667,129.7,10.18,94,82,2.08
70,Drensteinfurt,DE,2021-02-05 23:57:41,51.7953,7.7382,44.01,95,100,6.13
71,Sitka,US,2021-02-05 23:57:41,57.0531,-135.33,37.4,93,90,5.75
72,Rumphi,MW,2021-02-05 23:57:41,-11.0186,33.8575,63.84,87,8,2.24
73,Solano,US,2021-02-05 23:57:41,38.2333,-121.9511,69.8,35,1,4.61
74,Goderich,CA,2021-02-05 23:57:41,43.7501,-81.7165,21.2,68,100,26.46
75,Saint George,US,2021-02-05 23:57:42,37.1041,-113.5841,60.01,23,1,24.16
76,Hovd,MN,2021-02-05 23:57:42,48.0056,91.6419,10.65,89,45,0.69
77,San Patricio,US,2021-02-05 23:57:42,28.017,-97.5169,60.8,67,90,12.66
78,Vanimo,PG,2021-02-05 23:54:30,-2.6741,141.3028,79.05,80,99,4.56
79,Mount Gambier,AU,2021-02-05 23:54:48,-37.8333,140.7667,62.6,72,40,13.8
80,Celestun,MX,2021-02-05 23:57:43,20.8667,-90.4,75.25,75,0,8.41
81,Saint-Philippe,RE,2021-02-05 23:54:11,-21.3585,55.7679,78.8,65,0,6.91
82,Elliot Lake,CA,2021-02-05 23:57:43,46.3834,-82.6331,19.4,73,90,19.57
83,Cabo San Lucas,MX,2021-02-05 23:54:01,22.8909,-109.9124,82.4,34,1,10.36
84,Chokurdakh,RU,2021-02-05 23:57:43,70.6333,147.9167,-17.43,87,99,11.88
85,Lavrentiya,RU,2021-02-05 23:57:43,65.5833,-171.0,3.18,93,100,13.44
86,Toktogul,KG,2021-02-05 23:57:43,41.8708,72.9402,31.66,70,93,2.08
87,Kabalo,CD,2021-02-05 23:57:44,-6.05,26.9167,71.51,84,100,0.69
88,Bonthe,SL,2021-02-05 23:57:44,7.5264,-12.505,77.56,81,6,7.87
89,Hearst,CA,2021-02-05 23:57:44,49.6835,-83.6665,6.8,85,100,9.22
90,Marzuq,YE,2021-02-05 23:57:44,14.4,46.4667,55.13,35,0,5.41
91,Teahupoo,PF,2021-02-05 23:57:44,-17.8333,-149.2667,82.4,69,75,4.61
92,Xam Nua,LA,2021-02-05 23:57:44,20.4197,104.0439,56.75,90,62,2.17
93,Kapaa,US,2021-02-05 23:53:56,22.0752,-159.319,72.0,60,75,3.44
94,Jamestown,US,2021-02-05 23:57:45,42.097,-79.2353,23.0,63,90,14.97
95,Saskylakh,RU,2021-02-05 23:57:45,71.9167,114.0833,-30.51,83,87,5.32
96,Kikwit,CD,2021-02-05 23:57:45,-5.041,18.8162,73.31,91,99,2.62
97,Cherskiy,RU,2021-02-05 23:54:02,68.75,161.3,-16.04,77,1,0.4
98,San Felipe,VE,2021-02-05 23:57:45,10.3399,-68.7425,72.19,86,91,6.44
99,Flinders,AU,2021-02-05 23:57:46,-34.5833,150.8552,75.0,88,100,1.01
100,Tura,IN,2021-02-05 23:57:46,25.5198,90.2201,60.71,44,0,3.18
